Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
1,7,,Random2,DISCARD,pass,0.0,[ 7.  7.  8.  8.  8.  9. 10. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,7,,DQL_ATK,DISCARD,C5;Q3;J0,0.0,[ 6.  6.  7.  7.  8.  9. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q2;J0', 'C5;Q3;J0', 'C6;Q2;J0', 'pass']",,,,
1,7,,Random0,DISCARD,pass,0.0,[ 4.  4.  5.  6.  7.  8.  9. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,7,,Random1,DISCARD,pass,0.0,[ 4.  4.  8.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,DQL_ATK,DECLARE_PIZZA,,,,,,,,,,
1,8,,DQL_ATK,DISCARD,C6;Q2;J0,0.0,[ 7.  7.  8.  9. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q1;J0', 'C6;Q2;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'pass']",,,,
1,8,,Random0,DISCARD,C4;Q2;J0,0.0,[ 5.  6.  7.  8.  9. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q2;J0', 'pass']",,,,
1,8,,Random1,DISCARD,pass,0.0,[ 4.  4.  8.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,8,,Random2,DISCARD,pass,0.0,[ 7.  7.  8.  8.  8.  9. 10. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,8,,DQL_ATK,DISCARD,pass,0.0,[ 7.  7.  8.  9. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,Random0,DECLARE_PIZZA,,,,,,,,,,
1,9,,Random0,DISCARD,C5;Q1;J0,0.0,[ 6.  7.  8.  9. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q1;J0', 'C6;Q1;J0', 'C7;Q1;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'pass']",,,,
1,9,,Random1,DISCARD,C4;Q2;J0,0.0,[ 8.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q1;J0', 'C4;Q2;J0', 'pass']",,,,
1,9,,Random2,DISCARD,pass,0.0,[ 7.  7.  8.  8.  8.  9. 10. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,9,,DQL_ATK,DISCARD,pass,0.0,[ 7.  7.  8.  9. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
